rownum,Sum_of_scores
     1,378.2
     2,367.2
     3,340.5
     4,362.0
     5,353.3
     6,363.0
     7,335.9
     8,354.9
     9,329.1
    10,355.7
    11,340.2
    12,322.4
    13,332.6
    14,332.0
    15,353.9
    16,366.1
    17,324.2
    18,350.7
    19,308.9
    20,310.5
    21,314.5
    22,331.5
    23,322.4
    24,314.0
    25,332.7
    26,311.3
    27,331.1
    28,294.8
    29,282.8
    30,338.6
    31,309.9
    32,310.1
    33,325.6
    34,288.6
    35,313.1
    36,309.0
    37,299.4
    38,327.5
    39,315.3
    40,321.1
    41,313.3
    42,294.3
    43,317.2
    44,323.4
    45,315.0
    46,300.2
    47,276.6
    48,329.3
    49,262.8
    50,279.6
    51,286.3
    52,315.6
    53,294.2
    54,282.1
    55,287.1
    56,286.2
    57,294.3
    58,310.1
    59,300.0
    60,261.5
    61,278.5
    62,245.1
    63,297.1
    64,254.7
    65,280.3
    66,281.5
    67,262.9
    68,274.7
    69,253.2
    70,284.6
    71,294.0
    72,278.1
    73,300.9
    74,308.0
    75,286.7
    76,258.5
    77,282.3
    78,268.9
    79,297.6
    80,259.2
    81,232.4
    82,295.7
    83,304.3
    84,281.5
    85,254.1
    86,294.1
    87,232.6
    88,261.9
    89,286.1
    90,277.0
    91,255.6
    92,283.3
    93,256.0
    94,256.1
    95,263.4
    96,277.5
    97,275.8
    98,306.9
    99,285.8
   100,272.2
   101,275.1
   102,250.1
   103,313.1
   104,272.0
   105,292.5
   106,239.0
   107,251.6
   108,256.6
   109,262.4
   110,263.4
   111,280.6
   112,280.3
   113,278.1
   114,283.6
   115,227.0
   116,201.2
   117,283.4
   118,276.7
   119,286.2
   120,276.8
   121,292.0
   122,281.1
   123,307.7
   124,264.0
   125,270.1
   126,269.9
   127,238.8
   128,256.7
   129,261.0
   130,244.0
   131,264.5
   132,250.1
   133,231.4
   134,263.1
   135,275.1
   136,240.9
   137,230.4
   138,268.3
   139,297.0
   140,249.8
   141,275.6
   142,249.7
   143,261.9
   144,270.2
   145,263.0
   146,225.6
   147,263.9
   148,274.7
   149,247.3
   150,236.3
   151,262.5
   152,254.9
   153,256.3
   154,258.9
   155,250.9
   156,241.6
   157,225.3
   158,223.1
   159,285.7
   160,250.7
   161,241.4
   162,241.0
   163,262.4
   164,232.4
   165,249.3
   166,260.8
   167,257.5
   168,259.2
   169,276.6
   170,257.2
   171,259.1
   172,226.5
   173,257.1
   174,237.8
   175,284.7
   176,258.7
   177,255.6
   178,248.6
   179,259.3
   180,258.9
   181,232.1
   182,267.0
   183,246.9
   184,225.7
   185,222.9
   186,223.4
   187,248.3
   188,279.6
   189,277.5
   190,238.9
   191,189.2
   192,247.1
   193,243.9
   194,219.9
